,process,id,name,description,processType,lastChange,version,location,category
116,"tap water production, underground water without treatment | tap water | Cutoff, S_Europe without Switzerland",1ff89211-4e40-314f-9e0c-4de769f30270,"tap water production, underground water without treatment | tap water | Cutoff, S","This dataset is created as a child of global dataset with edited production volume.

This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. It represents average operation of tap water from underground water without further treatments. Water is pumped from aquifer and pressurized for distribution. Inventory was constructed from reported energy inputs and wastes from a single plant located in Québec assumed to represent 53% of total production of tap water from this technology.;[This dataset is meant to replace the following datasets:
 - tap water production and supply, Europe without Switzerland, 2000 - 2000 (bfb7cbe1-b023-40e6-b032-472fc9020703)] From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. Infrastructure for the facility is estimated. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.640+08:00,03.01.003,Europe without Switzerland,"3600:Water collection, treatment and supply"
117,"tap water production, ultrafiltration treatment | tap water | Cutoff, S_CA-QC",4110aa51-eaeb-32ce-9ab0-b58ae441fc0c,"tap water production, ultrafiltration treatment | tap water | Cutoff, S","This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. It represents average operation of ultrafiltration treatment for production of tap water. Ultrafiltration treatment includes intake pumping, ultrafiltration through polyvinylidenfluoride hollow fibers membrane and disinfection. Inventory was constructed from reported chemicals, energy inputs and wastes from a single plant located in Québec covering representing 29% of total production of tap water from this technology. Facility has 5 trains each containing 64 modules. Module useful life was assumed to be 10 years based on personal communication with expert from the facility, which is justify mainly from the high quality of intake water. From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, treatment system, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. It includes all chemicals and materials added to the water during treatment and replacement of ultrafiltration modules and pressure vessels. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.642+08:00,03.02.003,"Canada, Québec","3600:Water collection, treatment and supply"
118,"tap water production, seawater reverse osmosis, ultrafiltration pretreatment, baseline module, single stage | tap water | Cutoff, S_GLO",c0f196c1-9d04-323d-b32c-ba560c524342,"tap water production, seawater reverse osmosis, ultrafiltration pretreatment, baseline module, single stage | tap water | Cutoff, S","This dataset represents the production of 1 kg of drinking water (potable water) water from seawater reverse osmosis with ultrafiltration pretreatment using baseline membrane modules and a single stage configuration. Baseline membrane is a polyamide membrane of 35.3 m2 of active membrane surface and maximum operating pressure of 1000 psig (69 bars).  This dataset is based on published literature and on modeling. Reverse osmosis system was modeled using typical seawater characterisation, single stage baseline module membrane system with recovery rate of 40% and energy recovery by pressure exchanger of 40%. It includes water intake of seawater, ultrafiltration pretreatment, reverse osmosis filtration, recarbonisation and emissions of brine to sea. The modeling of the reverse osmosis treatment was done using the ROSA (Reverse Osmosis System Analysis) system design software from Dow Chemical. Recarbonation and post-treatment of permeate water are modeled with the Rothberg, Tamburini and Winsor (RTW) Model for Corrosion Control and Process Chemistry 4.0 by Tetra Tech. Typical seawater characterisation for salinity of 3.5% (w/w) was used for modeling. Composition is based on literature (Open University 1989). 
Open University (1989). Seawater: its composition, properties and behaviour. Gerry Bearman Editor, Pergamon Press, 165p. From intake of seawater. This dataset includes energy and material inputs for the different water treatment stages: chlorination, coagulation, ultrafiltration, dechlorination, reverse osmosis membrane filtration and post-treatment. It includes material for the membrane module and pressure vessel assuming lifetimes of 5 and 15 years, respectively. From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate. Electricity for lighting and heating the building  is excluded due to lack of data. Note that the energy for the pumps pressurizing water at the beginning of the network was estimated due to lack of data. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment are limited to release of brine to the environment and carbon dioxide emissions from water under atmospheric conditions. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.643+08:00,03.02.003,Global,"3600:Water collection, treatment and supply"
119,"market for tap water | tap water | Cutoff, S_CO",487f3d4f-8971-46ae-8a3c-6c026d920cb5,"market for tap water | tap water | Cutoff, S","This dataset describes average tap water available, at user, in Colombia. Water distribution being rather local, if tap water is a significant contributor to a given LCA, it is advisable, where possible, to make direct links to the actual water treatment technology model rather than the regional average this market dataset will represent. This activity starts from tap water, under pressure, at tap water treatment plant and fed into the tap water distribution network. From cradle, i.e. including all upstream activities. This activity ends with 1 kg of water at consumer (industrial or household).

This dataset includes: 
 - the distribution network
 - water losses during transmission 

This dataset doesn't include
 - energy used during distribution for additional pressure. The tap water is already under pressure when fed into the network (see corresponding tap water production datasets). The implicit assumption is that no additional energy is required during distribution to overcome loss of load in the distribution network. This assumption is not always correct.
 - emissions to groundwater associated with water leaving the distribution network through leaks. These are assumed to be inconsequential since we are dealing with treated tap water.",ProcessType.LCI_RESULT,2021-01-05T00:56:31.646+08:00,03.02.003,Colombia,"3600:Water collection, treatment and supply"
120,"tap water production, underground water with disinfection | tap water | Cutoff, S_CA-QC",9d6104a8-2e4e-3d9e-8e95-ecafcf02d77a,"tap water production, underground water with disinfection | tap water | Cutoff, S","This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. This dataset is approximating the inventory for underground water pumping and disinfection using chlorine using data from two facilities of different technology in Quebec. Chlorine consumption is estimated using data from the artificial recharged wells dataset and energy inputs are estimated using data from underground water without treatment dataset. From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. Infrastructure for the facility is estimated. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes.",ProcessType.LCI_RESULT,2021-01-05T00:56:31.649+08:00,03.01.003,"Canada, Québec","3600:Water collection, treatment and supply"
121,"tap water production, seawater reverse osmosis, conventional pretreatment, enhance module, single stage | tap water | Cutoff, S_GLO",82a9212f-1743-3d1c-beed-242006f8c7a8,"tap water production, seawater reverse osmosis, conventional pretreatment, enhance module, single stage | tap water | Cutoff, S","This dataset represents the production of 1 kg of drinking water (potable water) water from seawater reverse osmosis with conventional pretreatment using enhance membrane modules and a single stage configuration. Enhance membrane is a polyamide membrane of 40.9 m2 of active membrane surface and maximum operating pressure of 1200 psig (83 bars). This dataset is based on published literature and on modeling. Reverse osmosis system was modeled using typical seawater characterisation, single stage enhance module membrane system with recovery rate of 40% and energy recovery by pressure exchanger of 40%. It includes water intake of seawater, conventional pretreatment, reverse osmosis filtration, recarbonisation and emissions of brine to sea. The modeling of the reverse osmosis treatment was done using the ROSA (Reverse Osmosis System Analysis) system design software from Dow Chemical. Recarbonation and post-treatment of permeate water are modeled with the Rothberg, Tamburini and Winsor (RTW) Model for Corrosion Control and Process Chemistry 4.0 by Tetra Tech. Typical seawater characterisation for salinity of 3.5% (w/w) was used for modeling. Composition is based on literature (Open University 1989). 
Open University (1989). Seawater: its composition, properties and behaviour. Gerry Bearman Editor, Pergamon Press, 165p. From intake of seawater. This dataset includes energy and material inputs for the different water treatment stages: chlorination, coagulation, flocculation, clarification, sedimentation of sludge, dual media filtration, cartridge filtration, membrane filtration and post-treatment. It includes material for the membrane module and pressure vessel assuming lifetimes of 5 and 15 years, respectively. From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate. Electricity for lighting and heating the building  is excluded due to lack of data. Note that the energy for the pumps pressurizing water at the beginning of the network was estimated due to lack of data. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment are limited to release of brine to the environment and carbon dioxide emissions from water under atmospheric conditions. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.655+08:00,03.02.003,Global,"3600:Water collection, treatment and supply"
122,"tap water production, conventional treatment | tap water | Cutoff, S_Europe without Switzerland",fa39b439-338a-38c1-9a56-1c5ff9d3e1e6,"tap water production, conventional treatment | tap water | Cutoff, S","This dataset is created as a child of global dataset with edited production volume, activity links and river/lake water exchanges ratio valid for this geography.

This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. It represents average operation of conventional treatment for production tap water. Conventional treatment includes coagulation and decantation, filtration and disinfection. Other treatment such as oxidation (ultraviolet radiation, ozone) and other adjustment (pH, alkalinity, etc.)  can be present in some plant. Inventory was constructed from reported chemicals, energy inputs and wastes from 9 distinct conventional plants located in Québec.;[This dataset is meant to replace the following datasets:
 - tap water production and supply, Europe without Switzerland, 2000 - 2000 (bfb7cbe1-b023-40e6-b032-472fc9020703)] From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, treatment system, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. It includes all chemicals and material added to the water during treatment and, when needed, ultraviolent lamps for replacement. It excludes energy for pumping stations and water losses within the network as they are included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.659+08:00,03.02.003,Europe without Switzerland,"3600:Water collection, treatment and supply"
123,"tap water production, conventional with biological treatment | tap water | Cutoff, S_CA-QC",7062c1d3-b656-3cef-a804-ab137a931c3a,"tap water production, conventional with biological treatment | tap water | Cutoff, S","This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. It represents average operation of conventional with biological filtration treatment for production of tap water. Conventional with biological filtration treatment includes coagulation and decantation, biological filtration and disinfection. Other treatment such as oxidation (ultraviolet radiation, ozone) and other adjustment (pH, alkalinity, etc.)  can be present in some plant. Inventory was constructed from reported chemicals, energy inputs and wastes from 2 distinct conventional with biological filtration plants located in Québec. From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, treatment system, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. It includes all chemicals and material added to the water during treatment and, when needed, ultraviolent lamps for replacement. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.662+08:00,03.02.003,"Canada, Québec","3600:Water collection, treatment and supply"
124,"tap water production, underground water with chemical treatment | tap water | Cutoff, S_IN",2e5e8f26-db95-41c1-a7fb-a9309e6cb668,"tap water production, underground water with chemical treatment | tap water | Cutoff, S","This dataset is created as a child of the global dataset with edited production volume for this geography.

This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. It represents average operation of tap water from underground water with chemical treatments. Water is pumped from aquifer, chemically enhanced (e.g. corosion inhibitor, ph, chloration, etc.) and pressurized for distribution. Inventory was constructed from reported energy inputs and wastes from a single plant located in Québec assumed to represent 8% of total production of tap water from this technology.;[This dataset is meant to replace the following datasets:
 - tap water production and supply, GLO, 2000 - 2000 (58c7c438-e3f3-49e2-a66c-e494dc0dbb20)] From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. Infrastructure for the facility is estimated. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.665+08:00,03.02.003,India,"3600:Water collection, treatment and supply"
125,"tap water production, conventional with biological treatment | tap water | Cutoff, S_CH",ceec59f4-cfd1-3974-86f7-9aa56e16e971,"tap water production, conventional with biological treatment | tap water | Cutoff, S","This dataset is created as a child of global dataset with edited production volume, activity links and river/lake water exchanges ratio valid for this geography. 

This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. It represents average operation of conventional with biological filtration treatment for production of tap water. Conventional with biological filtration treatment includes coagulation and decantation, biological filtration and disinfection. Other treatment such as oxidation (ultraviolet radiation, ozone) and other adjustment (pH, alkalinity, etc.)  can be present in some plant. Inventory was constructed from reported chemicals, energy inputs and wastes from 2 distinct conventional with biological filtration plants located in Québec.;[This dataset is meant to replace the following datasets:
 - tap water production and supply, CH, 2000 - 2000 (3a700e71-708f-4021-873e-0a20b29460ad)] From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, treatment system, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. It includes all chemicals and material added to the water during treatment and, when needed, ultraviolent lamps for replacement. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.668+08:00,03.02.003,Switzerland,"3600:Water collection, treatment and supply"
126,"tap water production, conventional treatment | tap water | Cutoff, S_CA-QC",0bf2a2cb-ce4e-3dd2-a7ef-a54efd3a44bb,"tap water production, conventional treatment | tap water | Cutoff, S","This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. It represents average operation of conventional treatment for production tap water. Conventional treatment includes coagulation and decantation, filtration and disinfection. Other treatment such as oxidation (ultraviolet radiation, ozone) and other adjustment (pH, alkalinity, etc.)  can be present in some plant. Inventory was constructed from reported chemicals, energy inputs and wastes from 9 distinct conventional plants located in Québec. From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, treatment system, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. It includes all chemicals and material added to the water during treatment and, when needed, ultraviolent lamps for replacement. It excludes energy for pumping stations and water losses within the network as they are included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.669+08:00,03.03.003,"Canada, Québec","3600:Water collection, treatment and supply"
127,"tap water production, underground water with chemical treatment | tap water | Cutoff, S_CA-QC",0755af3f-8ed2-3cb9-9aa3-9d1a98c7a4f6,"tap water production, underground water with chemical treatment | tap water | Cutoff, S","This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. It represents average operation of tap water from underground water with chemical treatments. Water is pumped from aquifer, chemically enhanced (e.g. corosion inhibitor, ph, chloration, etc.) and pressurized for distribution. Inventory was constructed from reported energy inputs and wastes from a single plant located in Québec assumed to represent 8% of total production of tap water from this technology. From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. Infrastructure for the facility is estimated. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.671+08:00,03.02.003,"Canada, Québec","3600:Water collection, treatment and supply"
128,"tap water production, underground water with disinfection | tap water | Cutoff, S_RoW",669d55d0-6f8c-3925-977f-3a788e6bfc36,"tap water production, underground water with disinfection | tap water | Cutoff, S","This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. This dataset is approximating the inventory for underground water pumping and disinfection using chlorine using data from two facilities of different technology in Quebec. Chlorine consumption is estimated using data from the artificial recharged wells dataset and energy inputs are estimated using data from underground water without treatment dataset.;[This dataset is meant to replace the following datasets:
 - tap water production and supply, GLO, 2000 - 2000 (58c7c438-e3f3-49e2-a66c-e494dc0dbb20)] From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. Infrastructure for the facility is estimated. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes.",ProcessType.LCI_RESULT,2021-01-05T00:56:31.672+08:00,03.02.003,Rest-of-World,"3600:Water collection, treatment and supply"
129,"tap water production, ultrafiltration treatment | tap water | Cutoff, S_Europe without Switzerland",49860625-6c1f-3cd0-8b61-308021835eaa,"tap water production, ultrafiltration treatment | tap water | Cutoff, S","This dataset is created as a child of global dataset with edited production volume and activity links valid for this geography.

This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. It represents average operation of ultrafiltration treatment for production of tap water. Ultrafiltration treatment includes intake pumping, ultrafiltration through polyvinylidenfluoride hollow fibers membrane and disinfection. Inventory was constructed from reported chemicals, energy inputs and wastes from a single plant located in Québec covering representing 29% of total production of tap water from this technology. Facility has 5 trains each containing 64 modules. Module useful life was assumed to be 10 years based on personal communication with expert from the facility, which is justify mainly from the high quality of intake water.;[This dataset is meant to replace the following datasets:
 - tap water production and supply, Europe without Switzerland, 2000 - 2000 (bfb7cbe1-b023-40e6-b032-472fc9020703)] From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, treatment system, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. It includes all chemicals and materials added to the water during treatment and replacement of ultrafiltration modules and pressure vessels. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.674+08:00,03.01.003,Europe without Switzerland,"3600:Water collection, treatment and supply"
130,"tap water production, underground water with disinfection | tap water | Cutoff, S_CH",9385bec1-49c7-35ff-a49b-6aa0c3984f1d,"tap water production, underground water with disinfection | tap water | Cutoff, S","This dataset is created as a child of global dataset with edited production volume for this geography. 

This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. This dataset is approximating the inventory for underground water pumping and disinfection using chlorine using data from two facilities of different technology in Quebec. Chlorine consumption is estimated using data from the artificial recharged wells dataset and energy inputs are estimated using data from underground water without treatment dataset.;[This dataset is meant to replace the following datasets:
 - tap water production and supply, CH, 2000 - 2000 (3a700e71-708f-4021-873e-0a20b29460ad)] From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. Infrastructure for the facility is estimated. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes.",ProcessType.LCI_RESULT,2021-01-05T00:56:31.687+08:00,03.02.003,Switzerland,"3600:Water collection, treatment and supply"
131,"tap water production, artificial recharged wells | tap water | Cutoff, S_CA-QC",27ee136e-4c85-3331-9eec-be4e4cb42fd3,"tap water production, artificial recharged wells | tap water | Cutoff, S","This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. It represents average operation of tap water using artificial recharged wells technology. Water intake is a mix of groundwater and surface water (60:40). Surface water recharge hole where it settles and is then filtered through natural soil. Water is pumped from aquifer, disinfected and pressurized for distribution. Inventory was constructed from reported chemicals, energy inputs and wastes from a single plant located in Québec covering nearly 100% of total production of tap water from this technology.  From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, treatment system, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. It includes all chemicals and material added to the water during treatment and ultraviolent lamps for replacements. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.689+08:00,03.01.003,"Canada, Québec","3600:Water collection, treatment and supply"
132,"tap water production, direct filtration treatment | tap water | Cutoff, S_RoW",fdf91672-83fa-3605-8062-e7533f7d110d,"tap water production, direct filtration treatment | tap water | Cutoff, S","This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. It represents average operation of direct filtration treatment for production of tap water. Direct filtration treatment includes sand filtration and disinfection. Inventory was constructed from reported chemicals, energy inputs and wastes from 2 distinct direct filtration plants located in Québec covering nearly 100% of total production of tap water from this technology.;[This dataset is meant to replace the following datasets:
 - tap water production and supply, GLO, 2000 - 2000 (58c7c438-e3f3-49e2-a66c-e494dc0dbb20)] From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, treatment system, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. It includes all chemicals and material added to the water during treatment and, when needed, ultraviolent lamps for replacement. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.693+08:00,03.02.003,Rest-of-World,"3600:Water collection, treatment and supply"
133,"market for tap water | tap water | Cutoff, S_RoW",f0245d13-a3ba-37fa-8dd2-d6c46873b673,"market for tap water | tap water | Cutoff, S","This dataset describes average tap water available, at user, on a global level. Since tap water is mainly produced and distributed at a regional level, regional markets should be prefered, when relevant. This activity starts from tap water, under pressure, at tap water treatment plant and fed into the tap water distribution network. From cradle, i.e. including all upstream activities. This activity ends with 1 kg of water at consumer (industrial or household).

This dataset includes: 
 - the distribution network
 - water losses during transmission 

This dataset doesn't include
 - energy used during distribution for additional pressure. The tap water is already under pressure when fed into the network (see corresponding tap water production datasets). The implicit assumption is that no additional energy is required during distribution to overcome loss of load in the distribution network. This assumption is not always correct.
 - emissions to groundwater associated with water leaving the distribution network through leaks. These are assumed to be inconsequential since we are dealing with treated tap water.",ProcessType.LCI_RESULT,2021-01-05T00:56:31.698+08:00,03.02.003,Rest-of-World,"3600:Water collection, treatment and supply"
134,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage | tap water | Cutoff, S_GLO",c369ec42-0919-3846-88f9-d71c32b04d83,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage | tap water | Cutoff, S","This dataset represents the production of 1 kg of drinking water (potable water) from seawater reverse osmosis with conventional pretreatment using baseline membrane modules and a single stage configuration. Baseline membrane is a polyamide membrane of 35.3 m2 of active membrane surface and maximum operating pressure of 1000 psig (69 bars).  This dataset is based on published literature and on modeling. Reverse osmosis system was modeled using typical seawater characterisation, single stage baseline module membrane system with recovery rate of 40% and energy recovery by pressure exchanger of 40%. It includes water intake of seawater, conventional pretreatment, reverse osmosis filtration, recarbonisation and emissions of brine to sea. The modeling of the reverse osmosis treatment was done using the ROSA (Reverse Osmosis System Analysis) system design software from Dow Chemical. Recarbonation and post-treatment of permeate water are modeled with the Rothberg, Tamburini and Winsor (RTW) Model for Corrosion Control and Process Chemistry 4.0 by Tetra Tech. Typical seawater characterisation for salinity of 3.5% (w/w) was used for modeling. Composition is based on literature (Open University 1989). 
Open University (1989). Seawater: its composition, properties and behaviour. Gerry Bearman Editor, Pergamon Press, 165p. From intake of seawater. This dataset includes energy and material inputs for the different water treatment stages: chlorination, coagulation, flocculation, clarification, sedimentation of sludge, dual media filtration, cartridge filtration, membrane filtration and post-treatment. It includes material for the membrane module and pressure vessel assuming lifetimes of 5 and 15 years, respectively. From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate. Electricity for lighting and heating the building  is excluded due to lack of data. Note that the energy for the pumps pressurizing water at the beginning of the network was estimated due to lack of data. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment are limited to release of brine to the environment and carbon dioxide emissions from water under atmospheric conditions. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.701+08:00,03.02.003,Global,"3600:Water collection, treatment and supply"
135,"market for tap water | tap water | Cutoff, S_BR",517e1632-7050-4075-8727-5809f9fbcd5c,"market for tap water | tap water | Cutoff, S","This dataset describes average tap water available, at user, in Brazil. Water distribution being rather local, if tap water is a significant contributor to a given LCA, it is advisable, where possible, to make direct links to the actual water treatment technology model rather than the regional average this market dataset will represent. This activity starts from tap water, under pressure, at tap water treatment plant and fed into the tap water distribution network. From cradle, i.e. including all upstream activities. This activity ends with 1 kg of water at consumer (industrial or household).

This dataset includes: 
 - the distribution network
 - water losses during transmission 

This dataset doesn't include
 - energy used during distribution for additional pressure. The tap water is already under pressure when fed into the network (see corresponding tap water production datasets). The implicit assumption is that no additional energy is required during distribution to overcome loss of load in the distribution network. This assumption is not always correct.
 - emissions to groundwater associated with water leaving the distribution network through leaks. These are assumed to be inconsequential since we are dealing with treated tap water.",ProcessType.LCI_RESULT,2021-01-05T00:56:31.702+08:00,03.02.003,Brazil,"3600:Water collection, treatment and supply"
136,"tap water production, underground water without treatment | tap water | Cutoff, S_CH",ba9ebd0f-887d-34b7-90c2-c4bc5494d8c8,"tap water production, underground water without treatment | tap water | Cutoff, S","This dataset is created as a child of global dataset with edited production volume for this geography. 

This dataset represents production of 1 kg of tap water under pressure at facility gate, ready for distribution in network. It represents average operation of tap water from underground water without further treatments. Water is pumped from aquifer and pressurized for distribution. Inventory was constructed from reported energy inputs and wastes from a single plant located in Québec assumed to represent 53% of total production of tap water from this technology.;[This dataset is meant to replace the following datasets:
 - tap water production and supply, CH, 2000 - 2000 (3a700e71-708f-4021-873e-0a20b29460ad)] From the intake pumping of raw surface water into the water treatment plant.  From cradle, i.e. including all upstream activities. This dataset ends with the production of tap water, at facility gate, under pressure. It includes energy for intake pumping, lighting and heating of the building as well as the energy of the pump pressurizing water to the beginning of the network. Infrastructure for the facility is estimated. It excludes energy for pumping stations and water losses within the network which is included in the tap water market. Emissions to the environment occurring during the treatment and during the distribution were not considered as they are assumed negligible. Main substance in water that would be released in the environment are assumed to be considered in wastewater processes. ",ProcessType.LCI_RESULT,2021-01-05T00:56:31.704+08:00,03.02.003,Switzerland,"3600:Water collection, treatment and supply"
137,"market group for tap water | tap water | Cutoff, S_RER",afc335d4-79aa-3481-b832-a8303350f993,"market group for tap water | tap water | Cutoff, S","This dataset is a market group. Market groups represent a 'market of markets'. Their purpose is to group a set of markets into larger, geographically relevant datasets.;Market groups are created for convenience and ease of use. They only group other markets and/or market groups contained within their geography.;Losses and relevant exchanges (transport, transport infrastructure, etc.) are not included in this dataset. They are present in the contained markets.   From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:56:31.707+08:00,03.00.003,Europe,"3600:Water collection, treatment and supply"
